Rice,	5,	258,	Total = 1290 
 Flour,	5,	332,	Total = 1660 
 Salt,	6,	204,	Total = 1224 
 Tea,	6,	264,	Total = 1584 
 DishWasher,	5,	258,	Total = 1290 
 Detergent,	3,	230,	Total = 690 
 Airfreshner,	6,	330,	Total = 1980 
 DishWasher,	6,	264,	Total = 1584 
 Sugar,	3,	100,	Total = 300 
 Sugar,	7,	264,	Total = 1848 
 Tea,	6,	240,	Total = 1440 
 Coffee,	6,	258,	Total = 1548 
 Airfreshner,	6,	330,	Total = 1980 
 Tea,	8,	204,	Total = 1632 
 Olive Oil,	5,	204,	Total = 1020 
 Airfreshner,	3,	264,	Total = 792 
 Flour,	3,	332,	Total = 996 
 Olive Oil,	7,	100,	Total = 700 
 Rice,	6,	230,	Total = 1380 
 Detergent,	3,	230,	Total = 690 
 Tea,	5,	258,	Total = 1290 
 Airfreshner,	5,	330,	Total = 1650 
 Flour,	6,	100,	Total = 600 
 Airfreshner,	8,	258,	Total = 2064 
 DishWasher,	6,	204,	Total = 1224 
 DishWasher,	6,	230,	Total = 1380 
 Tea,	3,	230,	Total = 690 
 Tea,	3,	230,	Total = 690 
 Airfreshner,	8,	204,	Total = 1632 
 Sugar,	3,	240,	Total = 720 
 Flour,	3,	635,	Total = 1905 
 Coffee,	5,	100,	Total = 500 
 Sugar,	3,	240,	Total = 720 
 DishWasher,	3,	230,	Total = 690 
 Detergent,	6,	635,	Total = 3810 
 Coffee,	6,	332,	Total = 1992 
 Rice,	6,	240,	Total = 1440 
 Olive Oil,	8,	258,	Total = 2064 
 Detergent,	6,	258,	Total = 1548 
 Detergent,	6,	258,	Total = 1548 
 Sugar,	8,	230,	Total = 1840 
 Coffee,	3,	332,	Total = 996 
 Olive Oil,	8,	330,	Total = 2640 
 DishWasher,	5,	230,	Total = 1150 
 Salt,	3,	230,	Total = 690 
 Olive Oil,	6,	258,	Total = 1548 
 Coffee,	5,	332,	Total = 1660 
 Olive Oil,	8,	332,	Total = 2656 
 DishWasher,	8,	264,	Total = 2112 
 Rice,	8,	230,	Total = 1840 
 Olive Oil,	6,	264,	Total = 1584 
 DishWasher,	7,	204,	Total = 1428 
 Tea,	5,	332,	Total = 1660 
 Coffee,	5,	332,	Total = 1660 
 Olive Oil,	6,	332,	Total = 1992 
 Tea,	8,	230,	Total = 1840 
 Rice,	8,	635,	Total = 5080 
 Sugar,	5,	204,	Total = 1020 
 Olive Oil,	5,	230,	Total = 1150 
 Olive Oil,	5,	230,	Total = 1150 
 Detergent,	8,	230,	Total = 1840 
 Coffee,	6,	332,	Total = 1992 
 DishWasher,	3,	204,	Total = 612 
 Olive Oil,	6,	230,	Total = 1380 
 Coffee,	5,	264,	Total = 1320 
 Tea,	8,	230,	Total = 1840 
 Flour,	8,	100,	Total = 800 
 Sugar,	8,	635,	Total = 5080 
 Sugar,	6,	230,	Total = 1380 
 Airfreshner,	6,	230,	Total = 1380 
 Detergent,	6,	204,	Total = 1224 
 Detergent,	3,	240,	Total = 720 
 Coffee,	8,	635,	Total = 5080 
 Salt,	6,	204,	Total = 1224 
 DishWasher,	8,	330,	Total = 2640 
 Tea,	8,	635,	Total = 5080 
 Detergent,	6,	330,	Total = 1980 
 Sugar,	5,	264,	Total = 1320 
 Rice,	3,	332,	Total = 996 
 Tea,	3,	332,	Total = 996 
 Coffee,	7,	635,	Total = 4445 
 Detergent,	3,	330,	Total = 990 
 Rice,	5,	230,	Total = 1150 
 Olive Oil,	5,	332,	Total = 1660 
 Flour,	3,	204,	Total = 612 
 Olive Oil,	8,	100,	Total = 800 
 Salt,	6,	230,	Total = 1380 
 Flour,	8,	240,	Total = 1920 
 Airfreshner,	3,	204,	Total = 612 
 Coffee,	3,	100,	Total = 300 
 Detergent,	6,	258,	Total = 1548 
 Sugar,	5,	330,	Total = 1650 
 Olive Oil,	5,	100,	Total = 500 
 Flour,	8,	204,	Total = 1632 
 Airfreshner,	3,	332,	Total = 996 
 Airfreshner,	3,	635,	Total = 1905 
 DishWasher,	6,	258,	Total = 1548 
 DishWasher,	6,	240,	Total = 1440 
 DishWasher,	3,	204,	Total = 612 
 DishWasher,	3,	230,	Total = 690 
 