DishWasher,	8,	240,	Total1920 
 Detergent,	7,	240,	Total1680 
 DishWasher,	3,	230,	Total690 
 Tea,	8,	204,	Total1632 
 Sugar,	3,	230,	Total690 
 Rice,	8,	100,	Total800 
 Sugar,	5,	635,	Total3175 
 Olive Oil,	3,	240,	Total720 
 Airfreshner,	6,	100,	Total600 
 Tea,	6,	330,	Total1980 
 Rice,	8,	204,	Total1632 
 DishWasher,	3,	240,	Total720 
 Salt,	6,	330,	Total1980 
 Airfreshner,	3,	230,	Total690 
 Olive Oil,	6,	258,	Total1548 
 DishWasher,	7,	230,	Total1610 
 Tea,	6,	264,	Total1584 
 Olive Oil,	3,	240,	Total720 
 Sugar,	8,	332,	Total2656 
 Coffee,	5,	240,	Total1200 
 Rice,	3,	230,	Total690 
 Sugar,	7,	330,	Total2310 
 Rice,	6,	635,	Total3810 
 DishWasher,	3,	332,	Total996 
 Detergent,	6,	204,	Total1224 
 Rice,	6,	635,	Total3810 
 Rice,	8,	635,	Total5080 
 Coffee,	6,	330,	Total1980 
 Coffee,	6,	230,	Total1380 
 Tea,	5,	635,	Total3175 
 Coffee,	5,	230,	Total1150 
 Rice,	6,	635,	Total3810 
 Sugar,	6,	332,	Total1992 
 Tea,	3,	635,	Total1905 
 Salt,	6,	264,	Total1584 
 Salt,	3,	204,	Total612 
 Detergent,	6,	230,	Total1380 
 Rice,	8,	635,	Total5080 
 Salt,	3,	258,	Total774 
 Airfreshner,	3,	230,	Total690 
 Detergent,	3,	258,	Total774 
 Olive Oil,	6,	240,	Total1440 
 Flour,	3,	230,	Total690 
 Sugar,	8,	230,	Total1840 
 Detergent,	5,	332,	Total1660 
 Salt,	3,	240,	Total720 
 DishWasher,	8,	204,	Total1632 
 Tea,	3,	230,	Total690 
 Salt,	6,	230,	Total1380 
 Coffee,	8,	100,	Total800 
 Tea,	6,	240,	Total1440 
 Tea,	7,	230,	Total1610 
 Tea,	5,	330,	Total1650 
 Rice,	5,	230,	Total1150 
 Detergent,	6,	330,	Total1980 
 Sugar,	5,	204,	Total1020 
 Coffee,	5,	240,	Total1200 
 Flour,	8,	332,	Total2656 
 Tea,	7,	204,	Total1428 
 Detergent,	6,	635,	Total3810 
 Olive Oil,	5,	258,	Total1290 
 Tea,	5,	240,	Total1200 
 Airfreshner,	8,	258,	Total2064 
 Airfreshner,	3,	264,	Total792 
 Salt,	6,	330,	Total1980 
 Flour,	7,	230,	Total1610 
 Sugar,	6,	264,	Total1584 
 Detergent,	6,	264,	Total1584 
 Sugar,	3,	240,	Total720 
 DishWasher,	8,	100,	Total800 
 Detergent,	5,	204,	Total1020 
 Detergent,	5,	332,	Total1660 
 DishWasher,	6,	635,	Total3810 
 Sugar,	6,	230,	Total1380 
 Detergent,	8,	100,	Total800 
 Salt,	6,	332,	Total1992 
 Salt,	8,	330,	Total2640 
 Sugar,	8,	204,	Total1632 
 Detergent,	6,	330,	Total1980 
 Sugar,	6,	100,	Total600 
 Detergent,	6,	264,	Total1584 
 Tea,	3,	330,	Total990 
 Flour,	3,	332,	Total996 
 Salt,	3,	635,	Total1905 
 Coffee,	8,	258,	Total2064 
 Detergent,	8,	264,	Total2112 
 DishWasher,	8,	230,	Total1840 
 Coffee,	3,	258,	Total774 
 Coffee,	3,	635,	Total1905 
 Olive Oil,	7,	635,	Total4445 
 Flour,	5,	204,	Total1020 
 DishWasher,	6,	635,	Total3810 
 Rice,	7,	230,	Total1610 
 Olive Oil,	8,	330,	Total2640 
 Flour,	6,	330,	Total1980 
 Flour,	6,	635,	Total3810 
 Airfreshner,	6,	230,	Total1380 
 Sugar,	5,	230,	Total1150 
 Detergent,	8,	204,	Total1632 
 Coffee,	6,	258,	Total1548 
 